ProductID,Count,Score
 B00004RFI7,1, 0/0
 B002G4RDAI,1, 0/3
 B00004RFI5,2,8/12
 B0051ZIXMQ,73,99/221
 B00015N4T8,10,27/28
 B00164E6HM,2,0/3
 B0019M7KTC,5,2/3
 B004AR4WA8,1, 0/0
 B00004RFIK,23,71/90
 B002F4YG4K,7,22/27
 B000MQ58TU,1, 0/0
 B00004RFIF,31,127/142
 B00004RFIG,1, 1/1
 B00004RFIE,42,105/109
 B0007ORDMW,2,10/11
 B00170M2D0,12,28/35
 B000I9TX1U,3,9/30
 6300246299,2,20/22
 B002WKRSVA,1, 0/0
 B004LB5FEA,5,68/69
 B004BAO4CK,1, 0/0
 6300266850,7,6/10
 B0070225F4,1, 0/0
 B00000INBI,1, 23/23
 B004LB5FEK,1, 1/1
 B00005U8EY,5,11/12
 B00005U8EZ,3,16/20
 B002W7IH0Y,10,1460/1605
 B000VHVGM8,99,300/522
 B00005U8EP,11,10/21
 B00005U8EQ,12,21/31
 B00005U8ER,13,156/203
 6300186075,1, 5/5
 B00005U8EU,3,16/20
 6304880677,2,0/0
 B00351U934,66,139/165
 630259751X,16,88/97
 630354472X,2,2/4
 B000JUB2UI,1, 0/1
 B00005U8EN,46,411/483
 B00005U8EO,9,73/92
 B00005U8EA,1, 0/0
 B004D7SB5M,1, 0/0
 B00005U8ED,3,3/7
 B00005U8EF,1, 0/0
 B0095D5454,158,1407/2766
 B004XSHQRU,2,0/0
 6303154735,5,46/59
 B008BSM1EG,7,7/21
 B000067J2M,13,113/120
 6305809208,11,20/32
 B00000INBA,1, 6/6
 0790750708,68,380/549
 B0019RP6KC,51,130/171
 6305508569,3,39/48
 B002TK03YW,2,0/4
 B00005226W,5,454/538
 6305976104,6,30/42
 B002TV20LA,17,115/140
 B00005NQ51,88,355/600
 B005Z9MGQW,1, 0/0
 B002TV20LK,1, 0/0
 B001MWUWSK,4,10/12
 0966199464,1, 0/0
 B00005NKBU,4,15/32
 B0016PO9KU,1, 2/2
 B001OKQ7BG,104,814/897
 B000I1V3MU,18,51/62
 B0001A9JEW,7,28/52
 6304462689,3,15/17
 B00096S43U,29,126/154
 B000055YXI,2,23/24
 6301699599,190,990/2003
 B005LAJ22Q,382,743/1992
 B00096S43K,47,89/134
 B0010JR7GK,3,0/0
 B0007OP1A8,7,34/37
 B0018PH3K6,13,47/64
 B00096S43A,6,17/27
 6302373352,2,5/7
 B000WCN8TG,7,20/40
 B0001EYSQC,77,398/541
 B0013Z70YA,2,0/0
 B00008FZHL,8,17/35
 6303579485,3,4/5
 B004WSATRK,2,0/3
 0790747324,189,589/707
 B003U6SJX6,7,7/9
 B00005JMZQ,8,45/79
 B00242KDEK,4,32/33
 B00005V9I6,9,35/90
 B00008FZHF,1, 2/3
 B000NDFHYS,20,58/99
 B000028U3S,290,1090/1539
 B000WCN8T6,16,118/121
 B00005JMZK,506,1900/3152
 6303356699,2,1/1
 B0042W131W,2,3/6
 B000EOU4NA,1, 15/17
 B00005JMZA,81,225/309
 B0001WTVAM,8,22/37
 6304696698,1, 10/11
 B000056PPE,2,55/65
 1562229567,1, 3/3
 B0042W2IT8,5,13/23
 B000VHVGMI,31,174/300
 6303514723,64,220/354
 B0099VUXCQ,1, 0/0
 B0002A2VR8,1, 9/12
 B00925T8YI,1, 4/4
 B0018Z5C54,2,0/2
 B000CCD1XY,14,81/97
 6300147967,38,165/182
 B0007NMJZO,13,77/78
 B000056BPD,4,28/28
 B004AX5J5E,8,46/129
 B000NPFF52,2,9/18
 B000RNUFXC,5,45/66
 B00000INB2,9,27/42
 B00000INB3,16,118/121
 B00000INB1,8,63/66
 B003HE4FBG,4,3/7
 6302949041,3,21/22
 B00005QVUI,1, 0/1
 B00008G1PX,425,605/1323
 B00004WCMJ,3,1/5
 B008LYCDW0,1, 2/2
 B001AXTYPI,13,65/66
 B000067J2Z,9,13/16
 B00006G8I7,6,14/17
 B000056PNH,2,8/12
 B000056PNI,2,3/4
 B008ROG898,7,49/64
 6302719429,5,19/28
 B007HOQ574,3,9/9
 B000XEDVEA,3,37/37
 B0001NBNF2,112,286/426
 6302232163,1, 3/3
 6301387090,34,81/201
 B000IOM0RY,5,8/11
 B000056PNV,18,323/362
 B000FP2PEE,6,21/27
 6305808155,18,148/152
 B00004W221,108,258/525
 6305986398,1, 3/3
 B000GAKJXM,1, 3/3
 B000AE8L2U,13,45/53
 B000ZLFALI,61,124/139
 6300215067,3,2/6
 B00028G4UU,1, 10/10
 B000063JZ7,27,72/123
 B00005B7DN,19,51/105
 B001LMU1A0,41,206/243
 B0021542BK,4,5/5
 B00005B7DG,2,35/36
 B000057P5U,2,20/30
 B000QUCNRC,5,32/57
 B001IT2942,6,28/29
 630207505X,2,6/9
 B000LXH5P4,2,4/4
 B00005B7DP,19,109/154
 6302139724,3,23/30
 B002KPPEYA,1, 4/4
 B000AE8L2K,8,25/36
 6303293670,1, 4/4
 B000BB1NFO,1, 1/1
 B000LXH5PO,4,20/21
 B000AE8L20,12,43/59
 B001GBPZRU,27,157/195
 B000063JZU,5,4/5
 B001CUB9J8,1, 2/2
 B000FUF758,7,17/28
 B0013UQUSM,2,1/1
 B0048KQQC4,19,47/65
 B001DCE514,3,1/1
 B00005NHIR,1, 8/10
 B001OMT62Q,1, 0/0
 B0059JU0YS,3,6/13
 B001TGV882,117,333/506
 B002L5GDZI,16,46/87
 6304005512,90,319/344
 B003BGZ60Y,28,90/122
 B0045TOM6K,2,0/6
 B001PTP3J8,1, 1/1
 B001UHXL5S,2,7/7
 B000JJ5F70,3,4/7
 B0007LPS7W,51,352/516
 B003SHYYM2,97,279/417
 B000FP2PE4,4,16/18
 B00000K0B3,3,37/50
 B0002TT06Y,13,19/21
 B00007L4N8,6,54/62
 B00004CK9I,48,241/270
 B000006GMQ,2,116/120
 B000SKO8DC,1, 9/9
 B001IT294C,6,26/32
 B0015UYTZG,56,249/322
 B001302UMW,7,12/14
 6303890334,10,17/24
 B00008PW29,4,14/15
 B000I0RVSG,1, 1/1
 B003QWVPTE,9,7/7
 B000063W82,589,673/1272
 B00006G8IL,5,24/24
 0767805534,124,586/1071
 B008SAPAYA,6,38/40
 B000OFOSOA,1, 17/17
 B000KF0P2I,11,19/31
 B0041VEZVY,16,107/165
 B003U6SJXQ,84,310/652
 6302806240,2,3/3
 6301325842,1, 0/0
 B0006HBZXS,124,324/574
 6304288115,51,354/518
 B000FVQLQQ,319,822/1495
 5554663931,1, 1/4
 B005ZMBBR4,24,145/213
 B008SAPAYU,1, 0/0
 B000B19E8W,15,36/70
 B000GETWF4,376,1752/3279
 B004RAJ1D6,2,4/4
 B0007VY51W,5,4/7
 B0006VY6MG,2,2/3
 B000003O0Z,15,156/215
 B0036Q2RR4,1, 4/4
 B005G5PNOW,7,3/3
 B00004CQT3,24,64/79
 B000LXGW1W,1, 3/3
 B00005U14N,1, 9/9
 B00004CQT4,5,0/1
 B000JJRY7E,9,83/87
 B0000DJZBK,6,60/67
 B00005U14C,8,26/27
 B000OIOSFG,1, 0/0
 B0000060T0,1, 0/0
 B004XSUBE0,1, 0/0
 B0001GH7VI,3,40/42
 B001B9YBSQ,2,2/3
 B00005U14E,1, 5/5
 B0071AD95K,9,18/20
 B001EI5BWE,12,20/27
 B00005Q58B,27,113/198
 B00004WCM2,7,103/121
 B0036BDQ38,4,4/4
 B0002V7TJC,13,82/105
 B00180OU66,6,6/11
 B0006GAI6O,182,763/1101
 B000JJRY7Y,1, 2/4
 B000053VQE,85,417/485
 B000OIOSFQ,1, 0/0
 B00008HC96,1, 2/2
 B002DPRW1U,1, 2/2
 B00004CQTP,26,36/40
 630436119X,18,22/48
 B00005M1Y4,216,789/1022
 B00005M1Y7,114,135/213
 B00005M1Y6,74,80/141
 B0000028AJ,9,14/22
 B0000060TP,1, 4/4
 B0002B55DE,419,1170/1341
 B0041XQRR2,47,288/451
 B000MTFFMC,7,7/17
 B00005U149,18,50/75
 B00004T6FQ,1, 3/3
 B001N8Z8K0,6,4/12
 B005EP7HX4,6,22/38
 B00004CQTF,37,487/604
 B00005U142,2,3/3
 B003ZZ7TT2,2,1/1
 B000OIOSF6,1, 1/3
 B001IDSZ1O,82,354/445
 B00005U147,4,33/41
 B00005U145,5,34/45
 B0088VQ0V6,2,1/1
 6305796173,8,14/17
 B000035P4U,2,19/21
 B000VJDTTO,1, 1/2
 B00062IZGI,1, 2/2
 B0078V2LCY,2,1/1
 B002IRYYK0,5,11/16
 0963199668,1, 8/8
 B000ILYYYE,2,2/9
 B001M4154S,3,6/6
 B002SVTBFO,24,51/64
 B006MQ0GQE,5,2/6
 B00062IZGS,4,4/6
 B000KF0P28,42,112/135
 B00000405W,1, 19/27
 B000YTI3QA,16,137/151
 B0014Z4OO8,1, 0/0
 B003BEE7C4,1, 3/3
 B003CJUWVI,10,31/37
 B000F0UUOG,1, 1/1
 B005ZMBBRY,24,145/213
 6302739918,3,11/12
 B0000D0YWG,6,36/39
 0792845773,25,117/118
 0800126033,12,70/77
 B00009OWJQ,54,136/177
 0792151712,10,922/1136
 B00009OWJT,23,75/116
 B00347AGH8,2,4/6
 B000GB5M5Q,4,12/12
 B002EWD0IG,2,10/11
 B0009PBLOU,1, 0/0
 B00000IC83,1, 1/27
 B002NEWO96,1, 8/8
 B0006FFRDE,2,25/43
 6302761298,13,22/24
 B008YKQC6E,2,8/8
 B001AYMMK6,1, 0/0
 B000H5V8DG,169,620/838
 B00000K0B4,1, 0/6
 B0006FFRDO,2,0/0
 B000MDH5US,2,3/4
 B0052LZQ2O,1, 0/0
 B006HNRSFE,5,6/6
 B000KGGJ0E,7,7/9
 B0006GAOLI,1, 4/8
 B0006GAI6E,53,52/87
 B000MRA542,12,16/23
 B0003OXEE2,54,206/252
 B000FDEV0W,1, 0/8
 B00008FZHB,8,17/34
 B002SRWNPI,3,2/3
 B0002UP0KS,10,3162/3197
 B0000764K0,13,38/49
 B006UANE8E,2,2/2
 B000KGGJ0Y,79,435/589
 B001T46TUG,26,89/106
 B002PM8PZS,1, 1/4
 0790733382,32,67/95
 B000056N8U,18,150/164
 B000JBXHBO,26,127/139
 6304520735,13,25/35
 B0010XSL4S,17,117/142
 B000NJMJGQ,15,93/145
 B000LQ80B4,6,4/4
 B007CU8PAI,25,64/86
 B008UO5U9E,136,207/253
 6302744520,15,39/40
 1571884327,2,0/0
 B001KNAI2Q,66,274/335
 B005C2TKLQ,6,9/16
 B000A3457Q,12,552/680
 B000MRA54M,3,0/0
 B000KGGJ04,5,13/14
 B0084YBB16,1, 0/0
 B000G75B2E,18,80/103
 B0009Y7DSY,1, 7/7
 B00006D2AQ,13,17/23
 6305962979,28,100/119
 B0014567LQ,4,5/10
 B00005EB0B,104,202/272
 B0006FFRD4,2,25/43
 B001589JX0,1, 1/1
 B000056PPF,10,111/130
 B000H5U5IK,2,22/22
 B0062ABXLM,1, 0/0
 B00018YC3M,11,61/80
 B00379MVEO,2,9/25
 B0009PBLO0,13,87/184
 B0012BUWI6,3,3/3
 B00018YC3W,13,3/13
 B0006UYNSO,38,173/214
 B001L2DTXG,17,18/35
 B006R9CBOG,25,101/106
 B000H5U5IU,3,3/5
 B0001LQJWG,4,4/6
 B000J1NGY2,1, 3/5
 B00008G4H7,17,97/126
 B004LB5FE0,10,26/31
 B00004CZRA,52,134/170
 B000FEBWF8,3,11/15
 B004R6VHPK,13,46/49
 B0049IHX36,1, 2/2
 B003Y5PF80,79,221/421
 B001J88VJY,2,8/8
 B00005UW7E,83,290/417
 6302405688,12,97/110
 B00004YVV8,4,25/28
 B0010C54D0,3,10/15
 B00005UW7H,33,122/185
 B001XXJQDU,2,2/6
 B00005UW7J,1, 11/11
 B000KF0P2S,2,1/1
 B000MGTT4K,3,6/7
 B0000EYVJM,2,3/3
 B000MGTT4U,13,180/200
 630577238X,5,7/8
 B000HLDF8Q,2,2/2
 B000BUBETU,1, 0/0
 B007HCF5AE,1, 0/0
 B006WDECNK,1, 0/0
 6301966961,3,29/30
 B0000063PS,36,124/127
 6300213056,1, 1/2
 0790701251,315,1356/2126
 B00008YLVB,48,331/355
 B00008YLVC,10,64/90
 B006JIUN2W,1, 1/1
 6303464572,6,41/41
 B001VYX91G,2,2/2
 6302149525,1, 1/1
 B000Q7ZNZ4,48,125/137
 B001MBE63I,17,192/214
 B00068S3VY,6,119/121
 B0012EM5G0,14,17/30
 B0053O6Y9E,2,0/0
 B003PX4S9I,83,429/541
 B0001WJN8M,3,1/3
 B00005QC3M,137,287/459
 5553600715,382,755/1249
 B0012EM5GK,33,31/42
 B001G4ANCY,3,3/6
 B00475E0A0,7,33/42
 B00005Y6Y2,274,893/1401
 B0012EM5GA,33,31/42
 B000AYEL9W,10,71/92
 B000AXWH7G,15,39/49
 B000GGSMNK,117,108/125
 B000PTYRPA,7,22/23
 B00008YLV0,24,163/202
 B000I64V24,2,9/11
 B00005V9I7,10,40/42
 B00008YLV6,4,30/49
 B00008YLV7,44,245/301
 B00008WFTV,18,15/23
 B0023S4A12,10,22/23
 B009HNDF3K,50,111/173
 B00008WFTU,18,15/23
 B001J3NF54,1, 1/1
 B00005V9I1,26,136/165
 6301798708,58,456/701
 B000EMGIWI,2,13/25
 B008X1O7KM,206,573/835
 B0009UZGHI,14,39/61
 B000SVZIJO,98,317/578
 B0050GCJO4,2,0/0
 6301303016,23,47/60
 B000OYCNXY,1, 0/0
 B0010C54DU,2,9/10
 B007OWUZE8,6,6/8
 630530159X,1, 0/0
 6305988838,1, 0/0
 B003BRYA9G,3,3/3
 B000NOKM9M,1, 1/1
 B000UV00T0,1, 2/2
 6302783305,1, 1/1
 B008Q00I2Q,132,287/467
 B0076Z4BBG,6,2/2
 B003VHELLI,1, 0/0
 B00004U8KV,37,28/46
 B000JJ5F7U,2,3/3
 6304239343,14,34/39
 B0009PW3QK,5,16/21
 B0006A9FPA,8,21/41
 B004ULNJOO,1, 0/0
 B00819ZCP0,35,51/83
 B000LXHFUO,13,2/12
 B0072V6PPE,209,537/831
 B00005V9IA,3,17/20
 6302650488,2,37/38
 B00005V9I3,10,24/25
 6301045734,9,80/80
 B000CCD1XE,1, 1/1
 B0042AH2I2,3,9/10
 B000065FKL,37,49/135
 6302458900,50,35/39
 B000CCD1XO,3,35/36
 B001CE9DAG,3,2/5
 B00000IC8J,6,115/121
 B000JJ5F7K,1, 5/5
 B001ENWSAC,14,15/16
 B0000B3FE6,1, 0/4
 B0088W2LC2,3,1/6
 B001CMZJUG,1, 4/5
 B008CN092G,32,43/66
 B000083ED4,41,123/214
 B0063FGFCS,11,12/65
 B0002I82XW,93,128/153
 B004TWOX26,5,12/14
 6303269680,10,24/34
 B003QWVPT4,108,219/301
 6304092083,2,7/7
 6302518296,7,16/27
 6301901274,5,35/44
 B000RL08AE,5,3/13
 B00006JU7L,9,9/11
 B000EQ5V86,193,1215/1698
 B0002J4ZW8,74,233/421
 B008H5VFU4,2,0/1
 B008IG09KE,3,4/9
 6304276958,1, 20/20
 B00077BPBY,2,1/1
 B003F41T2Q,29,190/225
 B00004TXBN,13,84/98
 B000SM6FBS,1, 0/1
 B00005LKL6,103,429/547
 B00104FZCI,2,2/2
 6300135233,2,15/16
 B0071AD9KK,33,89/94
 B0002W19Z6,20,136/154
 B003E1QC1S,16,44/59
 6303111734,1, 2/2
 B004S8UU4Q,5,4/6
 B003AI2VGA,7,24/34
 5555223870,2,7/8
 B001PHA6PQ,8,17/17
 B000CCD1X4,17,73/95
 B001AYMMKQ,1, 0/0
 B000T4SWXO,170,243/461
 6303955746,3,31/32
 B00022PZJW,1, 1/1
 B003CJNFGM,1, 0/0
 B000KX0IMC,5,13/24
 B001AD6UJ6,1, 0/0
 B000OVLAB8,1, 1/1
 B003C5FN6Q,3,13/17
 6303359329,1, 5/6
 B003ICXC02,10,3/3
 B003XKQ62A,4,19/26
 630487250X,3,10/12
 B006RXQ6FM,224,370/759
 0955766818,1, 2/4
 B00000IC80,3,1/1
 6304204019,14,45/50
 B00000IC82,6,12/12
 B00000IC84,2,44/45
 B00000IC87,4,52/57
 B00000IC89,2,7/8
 B001OFSK3E,121,142/229
 6300213153,3,17/17
 B005UYF7KY,40,276/302
 B0030ZOYW2,3,16/17
 6301173147,1, 0/0
 6302760046,1, 835/916
 B00004CM33,3,8/8
 B002LSIAQU,11,18/20
 B0019F02WG,4,5/9
 B00004CZRS,16,52/91
 B0050QNO2K,2,0/0
 B001LOY1IG,54,341/485
 B000KX0IMW,21,30/31
 B0002PYS4M,9,73/75
 B0010XUKI8,2,6/9
 B003KM8U8O,23,36/56
 B000CQQI9O,21,62/67
 6301248546,1, 0/0
 6303037569,1, 1/1
 B002YJMMBA,256,601/1028
 B000Y8KM3I,1, 2/3
 B008R52L4I,1, 0/0
 B000CNET2A,5,36/62
 B0089VX0W2,1, 10/11
 B004VGH63I,2,2/2
 B00870YR7M,1, 1/1
 B003QVVJY6,1, 1/1
 B000NY1EC6,15,45/57
 B000CNET2K,1, 5/5
 B0006HBV46,5,39/49
 6305804427,1, 3/3
 6302918928,1, 28/29
 B00009YXGX,7,27/33
 B001HXDQAU,7,33/47
 B008R52L48,1, 3/4
 B008FPU7AA,12,28/30
 B000CNET20,1, 0/0
 B00009YXGR,8,16/28
 B00185J7KA,13,91/97
 B000NNM4BC,1, 0/0
 B000TMPDCY,35,101/146
 B0086460CY,6,4/9
 B0085KGGLY,28,93/205
 B0009OL90W,3,9/10
 B0042KZJN2,6,20/27
 B00008YLV9,2,38/41
 B001FB55HQ,404,1398/2492
 6301966422,16,100/110
 B0009OL90M,8,20/29
 6305949816,2,0/1
 B004TPJN2S,39,127/158
 B000CQQI9E,20,41/51
 6304366035,73,612/819
 0800103688,77,88/131
 B004ZXW2PE,2,4/4
 B000GIWU9A,1, 1/1
 078401115X,85,329/413
 B00005U146,1, 3/5
 B00005NKBV,1, 9/11
 B000065K9R,171,322/658
 6303149073,1, 7/7
 B0019F02W6,24,41/73
 B000NVL49W,34,251/276
 6302533244,1, 8/10
 B003BV8IBI,1, 2/3
 B004097IKW,12,102/121
 B009D0AZI0,3,2/2
 B000065K9E,17,50/59
 B000NVL49M,5,31/38
 B00000IC8E,2,9/10
 B00005NKBE,121,151/266
 B00000IC8F,14,55/60
 B00000IC8I,1, 0/7
 B000W4CG60,43,39/49
 B00000IC8K,3,1/1
 B001CCMLR0,1, 2/6
 B00000IC8M,6,12/12
 B002LSIAQ0,4,1/1
 B000FEBWFS,3,3/3
 B00005NKBL,4,129/141
 B000A9QK8M,59,444/713
 B00005YGRX,3,1/2
 6303454488,20,242/277
 B002KFPMBA,2,0/0
 B0088QNUUK,1, 0/0
 B00164E6HC,3,2/2
 B0001BMMEA,2,2/4
 B00005V9IL,238,937/1241
 B003NEQ74S,46,89/144
 B0000VD0AG,6,26/27
 6302091594,9,20/20
 B006FYGF8Q,153,498/1075
 B000BB1MEG,2,41/46
 B000QGE8ME,2,0/0
 B000A7Q2I2,82,253/331
 6301967917,25,99/134
 B009RAF860,3,71/76
 B00081U75O,20,176/209
 B001QB5SCM,141,430/621
 630188437X,1, 4/4
 B004EPYZQ2,469,1575/3445
 B001NZWEI2,5,8/10
 B00502BGMO,1, 0/0
 B00005UW7I,9,81/107
 B00004RQBF,17,74/138
 B000050X31,29,247/372
 B00004RQBA,28,118/140
 6301979656,1, 0/0
 B008H6GHL0,69,154/777
 B000QEITJO,38,173/328
 1569312486,2,1/1
 6303386326,8,14/17
 6302965195,4,28/28
 B002YKY9QK,9,36/42
 B000LE1GEO,7,6/12
 B00004RQB1,87,392/518
 B006HG141A,1, 0/0
 6301723465,18,95/131
 B000KKQNRO,608,2349/4791
 B0006N2DS8,10,25/34
 6304792352,4,12/28
 B006QFIK8M,1, 2/2
 B000F9RL9O,58,371/399
 B005QB2JR0,7,18/24
 B00000IC8L,6,145/146
 B0002RQ2VW,10,13/21
 B004EPYZQM,278,391/932
 B000A7DW7Q,46,103/139
 B006OIW2NA,104,485/750
 B001NZWEIC,1, 0/0
 B0011VJRXS,2,2/2
 B000HXDTHG,1, 2/4
 B007RQP5W8,1, 14/16
 B00076ON5U,13,34/55
 B00005V9IF,1, 9/10
 B002CWKTZA,2,5/5
 B005LXWYKU,13,38/54
 B0000TPAVK,3,2/19
 B00022VM5S,3,25/30
 B000F6ZPKY,11,18/23
 1572525835,1, 18/19
 B000028U32,1, 3/3
 B005B5PD92,3,0/1
 0793927560,1, 4/4
 B00022VM5I,100,379/544
 B0012Q3SYG,10,85/144
 B003Y7YUOS,1, 1/1
 B00005NKBZ,7,19/21
 1570762589,9,74/79
 B009N4Z9XW,1, 0/0
 B0001ADAVK,122,430/660
 6305101132,1, 3/3
 6302999014,1, 7/7
 B000QUCNR2,1, 0/1
 B0035AO4WC,50,470/580
 B001AQT0VI,171,297/503
 B00199PPOM,1, 0/0
 6305074054,11,28/47
 6301971493,6,21/21
 B000AMWIVM,493,1273/2598
 B002NE4HAU,3,0/0
 0767825454,1, 0/0
 6304972857,54,229/295
 B000W12MWQ,13,100/119
 B001MWUWSA,1, 0/1
 B002YA07RA,4,26/26
 B001YU7XQO,8,12/15
 B00433TOWA,1, 0/0
 6301882741,1, 0/0
 B000SVZIJY,13,29/39
 6301576152,8,17/17
 6305075654,12,16/55
 6301928334,35,117/200
 B0016OLXN2,188,705/1068
 B0038NBM6C,14,80/110
 6300207978,5,28/30
 6305441286,87,262/332
 B0080JT9PK,1, 0/0
 B00013EY80,7,40/40
 B00284EMI2,3,24/25
 B000KCHZ6A,1, 0/0
 B004G5PZ00,6,0/1
 B0014ERKO0,515,1108/2295
 B0000DG6XM,1, 1/1
 B009QW6BXS,43,141/179
 B000063W1R,310,1125/1641
 B00129G5Y8,1, 2/2
 B0030N1Z8K,1, 0/0
 B00005LKLN,121,241/320
 B0007VY51C,2,1/1
 B00319HT9M,5,15/28
 B00004UTXP,1, 15/17
 B0002V7TJM,8,6/8
 B007NF02Q2,1, 1/1
 B0002I8336,1, 6/6
